,Summary Tables,,,,,,,,,,,,,,,,,,,,
,All products,,,,,,,,,,,,,,,,,,,,
,,Year of MFN applied tariff,Binding coverage,Simple average,,Duty-free,,Non ad valorem duties,,Duties > 15 %,,Duties > 3 * AVG,,"Concessions
not yet
implemented
 in 2023",Maximum duty,,Number of distinct duty rates,,Coefficient of variation,,Number of MFN applied tariff lines
,Country/Territory,,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,,Bound,MFN applied,Bound,MFN applied,Bound,MFN applied,
,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
178,Congo                                                                                                                                                 ,2023,16.8,27.4,18.1,0,0.7,0,0,14.8,48,0,0,0,30,30,3,5,26,53,"6,063"
184,Cook Islands                                                                                                                                          ,2023,,,3.4,,98.8,,0.9,,1.1,,1.1,,, > 1000,,38,,754,"6,777"
188,Costa Rica                                                                                                                                            ,2023,100,43.1,5.5,2,52,0,0,96,1.1,0.1,1.1,0,233,150,19,18,36,166,"11,183"
384,Côte d'Ivoire                                                                                                                                         ,2023,33.3,11.2,12.1,0.8,1.7,0,0,2.5,38.6,0.1,0,0,64,35,15,5,59,61,"6,127"
192,Cuba                                                                                                                                                  ,2023,32.5,21.1,4.4,2.2,6.7,0,0,14.5,0,0,0,0,62,5,28,6,79,33,"6,262"
180,Democratic Republic of the Congo                                                                                                                      ,,100,96,,0,,0,,98.9,,0,,0,100,,9,,22,,
262,Djibouti                                                                                                                                              ,,100,41.3,,0,,0,,99.6,,0.6,,0,450,,14,,49,,
212,Dominica                                                                                                                                              ,2023,92.1,59.5,10.7,0,24.2,0,0.1,92.1,25.4,0,8.9,0,150,165,4,22,41,153,"6,769"
214,Dominican Republic                                                                                                                                    ,2023,100,34,7.6,2.4,55.4,0,0,89.4,29.4,0,1,0,99,99,13,12,35,133,"7,696"
218,Ecuador                                                                                                                                               ,2023,100,21.9,11.1,0,45.9,0,5.9,71.6,34.4,0.2,0.7,0,86,86,19,33,39,117,"8,284"
818,Egypt                                                                                                                                                 ,,99.4,36.8,,1.8,,0.2,,69.6,,0.4,,0, > 1000,,31,,405,,
222,El Salvador                                                                                                                                           ,2023,100,37,5.7,2.3,51.9,0,0,97.7,1.5,0.2,1.5,0,164,164,15,11,36,123,"8,890"
748,Eswatini                                                                                                                                              ,2023,93.8,19,7.5,14.2,60.6,0,2.5,38.3,20.2,3.3,9.1,0,597,401,58,103,129,148,"8,418"
918,European Union                                                                                                                                        ,2023,100,4.9,5,29.2,29.3,4.7,4.8,4,4.3,4.3,5,0,321,152,539,501,171,150,"9,754"
242,Fiji                                                                                                                                                  ,2023,50,41,8.2,0,26.5,0.3,1.7,50,5.6,0.1,5.4,0, > 1000, > 1000,8,76,56,515,"6,516"
266,Gabon                                                                                                                                                 ,2023,100,23.7,18.1,0,0.7,0,0,53,48,0,0,0,60,30,8,5,71,53,"6,063"
270,The Gambia                                                                                                                                            ,2023,14.6,103.1,12,0,1.7,0,0,14.6,38.6,0,0,0,110,35,9,5,21,61,"6,380"
268,Georgia                                                                                                                                               ,2023,100,7.1,1.5,24.9,87.2,0.4,0.5,1.9,0.1,0.7,12.6,0,311,311,26,10,95,259,"10,096"
288,Ghana                                                                                                                                                 ,2023,15.1,92,12,0,1.7,0,0,15.1,38.6,0,0,0,99,35,6,5,21,61,"6,380"
308,Grenada                                                                                                                                               ,2023,100,57.2,11,0.2,5.1,0,0.2,99.8,26.5,0.8,7.9,0,200,40,9,10,37,93,"6,663"
320,Guatemala                                                                                                                                             ,2023,100,41.3,5.6,2,50.7,0,0,94,0.7,0.6,0.7,0,257,201,27,11,47,131,"7,594"
324,Guinea                                                                                                                                                ,2023,38.4,20.8,12,0.7,1.7,0,0,17.8,38.6,0.1,0,0,75,35,15,5,77,61,"6,380"
624,Guinea-Bissau                                                                                                                                         ,2023,97.6,48.6,12,0,1.7,0,0,97.6,38.6,0,0,0,50,35,3,5,7,61,"6,380"
328,Guyana                                                                                                                                                ,2023,100,57,11.7,0,9.6,0,0,100,26.7,0,10,0,100,100,4,15,31,111,"6,707"
332,Haiti                                                                                                                                                 ,2023,87.7,18.7,4.9,5.2,45.4,9.4,0,52.3,5.6,0,13.5,0,70,50,145,14,58,131,"5,918"
340,Honduras                                                                                                                                              ,2023,100,31.9,5.7,1.9,51.2,0,0,89.8,0.7,0,0.7,0,164,164,23,14,31,143,"7,585"
344,"Hong Kong, China                                                                                                                                      ",2023,49.7,0,0,49.7,100,0,0,0,0,0,0,0,0,0,1,1,0,0,"7,804"
352,Iceland                                                                                                                                               ,2023,95,24,3.3,43.6,94.5,3.2,2.9,32.2,4.5,5.5,5.4,0,574,415,174,163,249,420,"9,313"
