"Annex table 3. FDI instock, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Finland,4  276.5,3  933.9,3  940.4,4  576.8,6  588.2,8  155.0,8  609.5,9  593.7,16  455.1,18  320.3,24  272.6,24  070.3,33  987.1,50  256.5,57  379.1,54  801.8,70  568.7,91  702.6,83  533.6,85  163.1,86  697.9,89  231.5,96  640.8,88  805.7,93  052.3,81  657.6,79  932.1,89  984.6,72  072.1,85  821.0,90  467.9,86  166.0,82  980.4,149  649.1
France,104  267.9,116  664.9,129  993.8,135  445.7,163  851.1,233  126.5,314  647.1,328  950.7,454  046.4,597  283.0,184  215.0,195  513.3,251  728.8,345  576.8,403  440.7,371  447.5,493  763.3,623  625.4,563  005.0,648  012.3,630  710.4,698  871.1,680  409.5,788  373.1,703  566.7,686  911.3,688  669.2,828  676.2,800  886.5,833  848.3,957  362.4,944  582.4,947  200.1,1012  705.1
Germany,226  551.9,252  057.3,234  459.3,223  671.9,265  099.4,312  576.2,316  600.5,314  305.6,403  621.8,235  254.2,470  937.7,424  308.0,538  018.5,686  716.8,727  999.3,640  058.1,799  246.9,952  220.1,914  509.3,963  511.0,955  881.4,997  726.6,1077  018.7,967  687.7,859  565.0,781  717.5,794  527.1,963  098.8,940  576.8,963  565.9,1153  099.0,1105  366.9,1091  561.2,1128  258.9
Greece,5  680.8,6  815.8,7  959.8,8  936.8,9  917.8,10  970.8,12  028.8,13  012.8,13  084.0,15  890.0,14  112.8,13  941.3,15  560.6,22  453.6,28  481.5,29  189.3,41  288.0,53  220.8,38  118.6,42  097.2,35  025.8,29  059.7,24  765.1,25  849.8,21  550.3,24  081.2,24  615.4,33  403.3,35  743.5,45  158.4,39  085.6,43  479.4,50  578.2,61  592.5
Hungary,  569.6,2  107.3,3  423.8,5  575.9,7  086.8,11  303.5,13  281.9,17  968.2,20  732.8,23  260.2,22  869.9,27  406.9,36  223.9,48  340.3,61  566.9,61  110.3,80  153.4,95  469.3,88  079.7,98  901.6,91  014.8,85  615.0,104  408.0,109  150.3,100  410.8,86  253.7,82  701.0,92  556.1,92  067.2,93  882.0,101  789.0,105  810.9,107  550.6,118  982.5
Ireland,37  988.9,39  350.5,40  808.7,41  886.6,42  743.6,44  186.5,46  804.0,47  970.2,62  205.2,72  815.4,127  088.7,134  052.5,182  897.4,222  837.3,207  646.8,163  530.0,156  491.3,203  682.6,188  290.0,250  102.6,285  575.3,290  494.9,383  204.0,414  740.6,429  846.2,890  096.1,840  663.9,1057  987.3,1049  411.4,1212  788.8,1413  833.7,1424  156.1,1369  155.5,1410  084.5
Italy,59  997.6,61  575.6,49  963.4,53  949.5,60  376.1,65  350.0,74  640.1,85  468.4,108  821.6,117  334.3,122  533.0,114  800.5,134  743.2,188  164.2,231  791.4,237  473.6,312  463.7,376  513.0,327  910.8,364  427.3,328  058.5,355  126.5,375  029.4,364  959.2,352  501.6,340  466.0,352  633.7,424  732.9,434  643.4,443  554.2,490  196.7,454  494.4,458  915.1,493  529.7
Latvia,  0.0,  144.8,  176.3,  221.4,  435.8,  615.5,  936.2,1  271.2,1  557.1,1  795.9,1  691.2,1  862.5,2  438.2,3  185.3,4  529.0,4  906.4,7  509.5,10  990.7,11  308.9,11  519.0,10  868.7,12  061.7,13  488.2,15  903.8,15  130.1,14  733.3,14  326.2,17  678.9,17  557.4,18  030.6,20  614.0,24  006.6,24  066.8,26  595.2
Lithuania,  0.0,  96.8,  106.8,  137.0,  321.0,  352.0,  700.3,1  040.6,1  625.3,2  063.0,2  334.3,2  665.5,3  981.3,4  959.8,6  553.0,8  449.9,11  619.9,15  652.2,13  268.1,14  824.2,15  455.3,16  147.0,17  726.6,19  525.2,16  889.1,16  046.4,16  171.4,19  302.0,19  108.9,21  354.3,24  012.8,26  215.1,27  685.8,31  564.0
Luxembourg,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,39  075.1,59  100.1,76  150.3,64  729.3,84  844.6,137  380.4,125  127.6,172  217.0,172  257.3,225  724.9,168  354.2,181  234.3,111  368.2,265  661.4,220  063.7,208  391.5,177  558.7,283  039.5,1525  769.1,1515  849.6,1155  656.3,1183  734.0
