"Annex table 3. FDI instock, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
New Zealand,7  938.4,10  760.6,12  544.6,15  539.1,22  062.2,25  727.6,34  743.7,31  507.2,33  190.5,32  875.4,24  101.4,20  378.2,29  880.4,38  194.0,44  314.6,44  094.0,50  120.4,58  967.2,44  113.5,56  458.5,59  738.5,64  432.0,71  576.7,75  343.1,76  621.8,66  480.4,70  094.8,75  721.8,76  389.6,81  538.3,92  629.2,93  002.0,94  318.7,99  128.3
Republic of Korea,5  185.6,6  318.1,6  885.4,7  431.6,14  850.0,18  220.0,25  730.0,14  170.0,22  190.0,41  850.0,43  738.0,53  207.5,62  658.3,66  069.7,87  766.4,104  879.1,115  773.5,121  956.5,94  721.5,121  933.4,135  499.7,135  178.3,157  876.1,180  859.7,179  441.0,179  544.4,188  877.0,229  399.4,237  237.8,241  657.1,260  801.1,280  084.7,272  328.0,284  146.1
Bermuda,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  34.7,  137.4,  197.9,  264.8,  306.6,  312.0,  324.9,1  156.5,1  200.2,1  461.2,2  409.3,2  479.8,2  569.6,2  837.0,2  561.5,2  609.1,2  664.0,2  686.9,2  542.5,2  605.5,2  316.2,2  441.6,2  437.0,2  836.3,2  689.5,2  641.5,2  915.5
Developing economies,503  628.3,540  411.0,597  247.6,674  960.0,744  123.5,828  476.0,961  543.3,1083  727.1,1186  272.0,1511  882.5,1517  163.3,1705  237.5,1643  133.8,1907  638.9,2221  532.6,2592  923.8,3230  344.0,4329  792.3,4040  924.6,4846  141.9,6064  011.8,6432  729.1,7337  323.8,7799  336.1,8387  894.2,8550  527.6,9094  584.6,10322  314.8,10604  341.0,11343  075.0,11886  194.7,14300  663.5,14783  189.0,15696  192.5
Africa,59  994.7,64  482.0,68  372.1,72  701.5,80  982.2,88  632.7,91  127.5,101  183.1,109  652.3,153  215.0,153  062.0,154  338.0,170  561.7,215  419.3,260  257.5,281  560.6,335  282.6,416  149.5,409  733.8,516  478.9,620  046.0,649  401.0,713  601.1,755  889.0,784  747.2,807  525.4,799  190.2,860  826.8,873  772.8,925  088.6,954  396.2,1025  422.7,1045  623.7,1036  252.4
North Africa,23  962.3,25  156.2,26  548.9,28  581.0,31  485.4,33  385.1,34  715.8,36  913.4,40  847.2,43  004.8,45  589.6,50  436.1,55  828.1,65  383.3,75  295.9,83  620.6,113  637.1,145  349.2,165  415.9,185  862.5,201  109.5,205  966.2,219  023.7,235  098.9,239  615.5,246  268.9,259  268.2,277  915.9,289  978.5,308  834.9,324  599.2,333  047.8,336  039.2,354  973.7
Algeria,1  560.6,1  640.6,1  670.6,1  670.6,1  670.6,1  670.6,1  940.6,2  200.6,2  807.2,3  098.8,3  378.9,4  492.0,5  556.9,6  194.8,7  079.6,8  225.2,10  113.6,11  857.3,14  489.3,17  243.4,19  544.7,23  535.7,25  035.2,26  732.1,28  238.8,27  654.3,29  290.6,30  522.9,31  997.5,33  379.3,34  519.1,35  388.8,35  643.5,36  859.8
Egypt,11  042.6,11  295.6,11  754.6,12  961.1,14  094.5,14  689.7,15  326.1,16  578.0,17  654.0,18  719.0,19  955.0,20  465.0,21  111.5,21  348.9,23  506.3,28  881.9,38  924.7,50  502.8,59  997.4,66  709.0,73  094.6,72  611.9,78  643.0,82  893.0,87  485.0,94  307.0,102  324.0,109  677.0,117  728.0,126  639.0,132  477.0,137  543.0,148  888.0,158  689.0
Libya,  678.0,  769.9,  869.0,  927.2,  854.6,  766.1,  654.4,  586.5,  458.6,  330.5,  471.5,  338.5,  483.5,  626.5,  983.5,2  021.5,4  085.5,7  935.5,11  115.5,14  425.5,16  334.5,16  334.5,17  759.5,18  461.5,18  461.9,18  461.9,18  461.9,18  461.9,18  461.9,18  461.9,18  461.9,18  461.9,18  461.9,18  461.9
Morocco,3  011.1,3  328.1,3  752.1,4  243.1,4  794.1,5  126.1,5  448.1,6  655.3,7  055.5,8  419.5,8  841.7,11  649.4,12  130.2,17  106.1,19  883.1,20  751.5,29  938.7,38  613.3,39  388.3,42  581.1,45  081.6,44  515.9,45  245.7,51  816.0,51  192.0,49  670.5,54  784.2,63  204.8,64  135.3,66  551.1,71  975.0,72  994.0,63  277.9,69  297.2
Sudan,  55.3,  54.7,  54.8,  54.6,  153.8,  165.8,  166.2,  264.1,  634.8,1  005.6,1  397.8,1  971.8,2  685.0,3  868.4,5  999.5,6  901.0,8  742.8,10  247.2,11  900.3,13  626.6,15  690.3,17  424.7,19  736.2,21  424.0,22  675.3,24  403.7,25  467.5,26  532.8,27  668.5,28  493.9,29  210.8,29  727.6,30  301.1,30  849.3
Tunisia,7  614.8,8  067.4,8  447.9,8  724.5,9  918.0,10  967.0,11  180.6,10  629.0,12  237.1,11  431.5,11  544.8,11  519.4,13  861.0,16  238.5,17  843.9,16  839.5,21  831.8,26  193.2,28  525.1,31  276.9,31  363.8,31  543.4,32  604.2,33  772.4,31  562.4,31  771.6,28  940.1,29  516.5,29  987.3,35  309.7,37  955.4,38  932.6,39  466.9,40  816.6
Other Africa,36  032.4,39  325.8,41  823.2,44  120.5,49  496.7,55  247.5,56  411.7,64  269.7,68  805.1,110  210.1,107  472.3,103  901.9,114  733.6,150  036.0,184  961.6,197  940.0,221  645.5,270  800.3,244  317.9,330  616.4,418  936.6,443  434.9,494  577.4,520  790.0,545  131.8,561  256.4,539  922.0,582  911.0,583  794.3,616  253.7,629  797.0,692  374.8,709  584.5,681  278.6
Central Africa,3  124.1,3  146.2,3  307.7,3  525.3,3  465.8,3  361.9,3  362.5,3  259.2,3  985.0,4  465.2,5  052.8,6  627.0,8  846.8,11  536.2,13  064.1,15  118.7,16  449.8,21  722.7,26  192.0,31  649.0,39  227.4,44  700.3,50  023.3,55  827.4,60  355.2,68  969.5,75  794.9,85  553.2,93  674.7,102  711.0,111  279.0,113  362.3,120  235.8,126  047.1
Burundi,  30.2,  31.0,  31.5,  31.9,  31.9,  33.7,  33.7,  33.7,  35.7,  35.1,  46.8,  46.8,  46.8,  46.8,  46.8,  47.4,  9.9,  9.4,  12.2,  12.6,  13.3,  15.2,  13.9,  131.7,  212.2,  252.0,  241.4,  231.0,  226.7,  227.7,  233.8,  241.7,  254.6,  283.1
Cameroon,  360.4,  345.9,  375.1,  380.3,  371.3,  378.5,  479.9,  558.2,  773.3,  757.8,  916.6,  989.9,1  591.6,1  927.9,2  014.0,2  248.0,2  264.4,2  455.4,2  431.2,3  099.6,3  099.0,3  454.4,4  193.6,4  972.6,5  042.5,5  137.6,5  602.3,7  237.1,7  652.1,8  538.2,8  931.1,5  557.9,6  483.6,7  282.8
Central African Republic,  95.4,  90.5,  79.8,  69.9,  73.5,  79.7,  90.6,  92.1,  99.7,  103.5,  104.3,  109.5,  115.1,  137.3,  165.9,  198.3,  233.0,  289.7,  406.8,  449.1,  510.6,  547.5,  617.6,  619.4,  622.9,  626.0,  633.3,  640.1,  658.1,  683.7,  685.5,  690.9,  714.9,  753.7
Chad,  249.7,  253.9,  255.9,  271.0,  298.1,  330.7,  370.2,  414.5,  436.2,  460.7,  575.9,1  035.7,1  959.9,2  672.5,3  139.3,3  040.0,2  761.6,2  439.9,2  906.0,3  280.9,3  593.9,3  875.8,4  455.6,4  975.8,4  300.3,4  859.7,5  104.2,5  467.6,5  928.5,6  495.1,7  052.8,7  757.9,8  371.9,9  285.3
Congo,  575.2,  607.9,  610.7,  896.7,  899.7,1  021.5,1  094.1,1  173.3,1  206.0,1  726.7,1  892.6,1  969.8,2  106.6,2  429.7,2  421.3,3  006.4,3  560.0,5  027.6,7  059.5,8  332.5,9  260.9,9  447.2,9  164.4,9  773.8,11  433.3,15  236.6,16  848.2,21  265.1,25  580.4,28  946.5,32  962.0,33  494.0,34  026.2,34  652.7
"Congo, Democratic Republic of",  546.4,  558.8,  558.1,  564.9,  563.4,  541.1,  565.9,  521.5,  582.9,  594.0,  617.4,  719.6,  907.2,1  298.4,1  707.5,1  974.1,2  230.2,4  038.2,5  765.1,6  428.9,9  368.1,11  055.0,14  367.2,16  465.4,18  308.6,19  982.1,21  186.8,22  527.0,24  143.8,25  631.9,27  278.8,29  148.8,30  994.6,32  629.2
Equatorial Guinea,  25.4,  66.7,  72.7,  95.0,  112.0,  175.3,  423.0,  476.4,  751.2,  905.5,1  060.0,2  000.7,2  324.1,3  013.9,3  354.8,4  124.0,4  593.5,5  836.2,5  042.3,6  678.6,9  412.6,11  387.6,12  372.8,12  955.8,13  123.6,14  311.3,16  066.6,16  451.5,16  307.0,17  128.4,17  119.3,17  680.9,19  069.1,19  210.9
Gabon,1  208.4,1  153.9,1  280.8,1  167.1,1  067.5,  750.8,  252.2,-  66.2,  32.9,-  184.8,-  227.4,-  316.5,-  279.5,-  73.4,  120.3,  362.6,  630.4,1  341.1,2  101.3,2  765.3,3  287.0,4  161.8,3  941.0,4  712.2,5  759.9,6  750.7,7  994.3,9  308.3,10  687.4,12  240.6,13  957.1,15  486.3,16  590.9,17  741.6
Rwanda,  32.7,  37.2,  42.7,  48.6,  48.6,  50.6,  52.8,  55.4,  62.5,  59.0,  55.2,  57.0,  56.9,  61.6,  69.3,  77.3,  88.2,  170.4,  273.7,  392.4,  422.1,  463.6,  582.7,  837.7,1  152.2,1  401.8,1  680.3,1  959.3,2  283.7,2  546.9,2  707.1,2  937.8,3  237.3,3  696.7
São Tomé and Principe,  0.4,  0.4,  0.4,-  0.1,-  0.1,-  0.1,  0.3,  0.4,  4.6,  7.6,  11.4,  14.4,  18.0,  21.4,  24.9,  40.6,  78.6,  114.6,  193.7,  209.2,  259.8,  292.0,  314.5,  383.0,  399.8,  411.7,  437.5,  466.0,  206.9,  272.0,  351.5,  366.1,  492.7,  511.2
East Africa,1  701.3,1  787.7,1  838.4,1  970.6,2  204.3,2  610.8,2  853.1,3  571.4,5  138.3,5  828.5,7  202.2,7  852.2,8  539.8,10  177.9,11  533.2,12  831.0,16  163.6,21  675.8,26  779.6,32  965.0,37  753.6,40  026.5,43  486.3,47  038.1,52  528.3,55  118.6,60  869.0,69  069.4,77  332.9,82  228.4,84  320.7,91  519.3,99  466.1,110  318.1
Comoros,  17.1,  19.6,  18.1,  18.3,  18.5,  19.4,  19.9,  19.9,  20.3,  20.6,  20.6,  21.8,  22.2,  23.0,  23.7,  24.3,  25.1,  32.8,  37.4,  51.2,  59.5,  82.6,  93.0,  97.2,  101.9,  106.9,  110.4,  114.3,  121.2,  129.1,  137.6,  141.6,  145.5,  150.5
Djibouti,  12.7,  15.0,  17.3,  18.8,  20.2,  23.4,  26.7,  29.1,  32.5,  36.8,  40.1,  43.4,  46.9,  61.2,  99.7,  104.4,  130.3,  180.9,  235.3,  295.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Eritrea,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  36.7,  77.8,  226.3,  309.5,  337.4,  349.5,  372.3,  397.3,  421.4,  422.8,  438.2,  445.4,  484.4,  575.4,  666.4,  705.4,  746.8,  790.6,  837.2,  886.5,  938.8,  994.2,1  055.3,1  122.4,1  092.0,1  060.8,1  028.8,1  030.8
Ethiopia,  124.4,  130.4,  130.6,  134.1,  151.3,  165.4,  187.4,  475.9,  736.5,  806.5,  941.1,1  290.5,1  545.5,2  010.5,2  555.6,2  820.8,3  366.0,3  588.0,3  696.5,3  918.0,4  206.3,4  832.8,5  111.4,6  455.2,8  310.3,10  936.8,15  079.7,19  096.8,22  407.1,24  955.9,27  351.3,31  610.8,35  280.7,38  543.7
Kenya,  667.9,  686.7,  692.7,  694.7,  699.0,  732.0,  742.6,  795.6,  807.0,  820.8,  931.7,  937.0,  964.6,1  046.4,1  092.4,1  113.7,1  986.3,3  599.6,3  525.9,4  837.7,4  967.1,5  436.7,4  377.1,5  266.8,5  902.9,5  756.6,6  151.6,6  738.7,8  545.8,9  292.8,9  796.3,9  812.9,9  691.6,11  195.9
Madagascar,  106.8,  120.4,  141.6,  156.9,  162.6,  172.4,  182.5,  196.3,  212.4,  270.8,  140.8,  142.6,  180.5,  259.0,  256.6,  245.7,  738.8,1  773.4,2  786.9,3  947.8,4  382.7,4  914.7,5  729.6,6  378.0,7  089.4,5  976.5,6  224.6,7  073.9,6  707.4,5  698.2,4  100.6,3  791.9,4  120.1,4  534.6
Mauritius,  167.8,  185.1,  199.8,  214.6,  234.6,  253.3,  289.9,  345.2,  357.4,  406.7,  683.5,  657.8,  689.9,  752.0,  763.2,  804.7,  910.0,1  249.1,1  632.0,3  016.1,4  658.4,2  998.6,3  218.0,4  344.6,4  180.1,4  363.9,4  616.5,5  221.6,5  489.8,5  780.4,5  630.4,5  355.4,5  894.5,6  418.5
Seychelles,  212.9,  237.8,  230.7,  249.1,  294.9,  346.2,  365.8,  408.9,  435.7,  497.5,  515.2,  580.0,  627.6,  686.0,  723.5,  809.4,  954.9,1  136.4,2  899.5,2  939.6,2  959.8,2  976.6,3  019.1,3  049.8,3  085.2,2  552.4,2  707.6,2  502.0,2  430.9,2  467.7,2  679.1,2  904.9,3  117.0,3  354.2
Somalia,-  2.0,-  2.2,-  2.3,-  0.3,  0.8,  1.8,  3.1,  4.2,  4.2,  3.4,  3.7,  3.7,  3.8,  3.0,-  1.8,  22.2,  118.2,  259.2,  346.2,  454.2,  566.2,  668.2,  775.5,1  033.5,1  294.5,1  597.5,1  927.5,2  296.5,2  704.5,3  151.5,3  685.5,4  286.5,4  922.5,5  599.5
Uganda,  6.0,  7.0,  10.0,  64.5,  152.7,  277.2,  317.2,  458.7,  591.3,  666.9,  807.1,  958.6,1  146.9,1  349.1,1  644.6,2  024.4,2  668.6,3  460.9,4  189.8,5  031.4,5  575.2,6  469.5,7  674.9,8  770.9,9  829.5,10  369.1,10  273.0,11  531.7,13  315.2,14  084.2,13  357.9,15  031.6,16  631.2,19  517.2
United Republic of Tanzania,  387.8,  387.8,  399.8,  419.8,  469.8,  619.8,  681.4,  760.0,1  714.7,1  989.1,2  780.9,2  867.2,2  939.3,3  590.3,3  954.3,4  438.8,4  827.2,5  950.1,6  945.6,7  898.6,9  712.0,10  941.4,12  740.9,10  851.4,11  897.4,12  572.6,12  839.2,13  499.6,14  555.6,15  546.2,16  490.0,17  522.9,18  634.4,19  973.2
Southern Africa,17  194.4,19  018.6,19  913.3,19  742.0,22  156.4,25  751.9,24  067.5,28  635.6,29  704.2,69  127.1,62  207.7,54  797.8,59  231.1,86  171.3,114  272.9,128  049.7,139  535.5,167  756.4,121  915.4,179  294.1,235  365.4,232  414.8,241  934.3,231  157.2,218  142.0,219  438.5,237  906.3,264  173.3,244  197.5,249  504.9,238  475.2,284  707.2,279  353.9,234  099.5
Angola,1  024.7,1  688.8,1  976.8,2  278.8,2  448.9,2  920.9,3  101.5,3  513.1,4  627.1,7  098.5,7  977.1,10  122.6,11  866.1,15  443.1,17  640.3,16  336.5,16  298.8,15  405.4,17  084.4,19  289.7,32  457.9,43  275.2,41  810.6,34  690.6,25  478.6,32  311.6,29  184.1,29  436.3,22  716.5,18  879.1,21  595.1,20  860.8,14  262.1,12  176.6
Botswana,1  309.3,1  301.1,1  299.6,1  012.6,  998.5,1  126.4,1  058.1,1  172.9,1  294.8,1  387.3,1  826.7,1  388.5,  854.1,1  167.2,1  640.0,1  664.1,1  991.6,2  505.7,2  474.4,3  011.9,3  350.6,4  113.5,3  538.3,3  683.6,3  862.4,3  612.2,5  041.8,5  228.2,5  172.7,5  453.9,5  733.4,5  010.9,5  194.5,5  409.8
Eswatini,  335.7,  399.1,  437.3,  462.2,  506.1,  535.4,  437.6,  406.6,  480.8,  557.9,  536.0,  353.1,  613.2,  725.1,  931.8,  786.2,  831.0,  889.3,  541.9,  809.0,  926.7,  907.0,  922.4,  769.8,  616.4,  520.9,  847.6,  925.0,  812.7,  975.4,  962.8,1  096.4,  965.8,  895.8
Lesotho,  82.6,  89.9,  97.5,  112.9,  155.4,  178.8,  206.9,  238.6,  265.4,  298.1,  329.6,  357.8,  384.7,  426.6,  479.9,  192.9,  128.5,  486.7,  445.6,  846.9,  928.6,  697.0,  434.0,  617.6,  615.3,  571.9,1  124.1,1  093.8,1  138.7,1  156.6,1  129.0,1  023.6,  958.0,  851.2
Malawi,  227.6,  198.9,  191.8,  199.8,  224.8,  230.4,  246.2,  260.3,  273.2,  331.7,  357.7,  381.2,  344.9,  248.5,  408.5,  553.2,  828.4,1  410.1,1  886.1,  940.8,  962.8,1  921.8,1  275.8,  534.2,  761.8,  713.7,1  114.5,1  306.1,1  376.7,1  453.5,1  556.5,1  631.9,1  483.6,1  691.9
Mozambique,  24.8,  47.3,  72.6,  104.6,  139.6,  356.5,  429.0,  493.4,  728.3,1  110.0,1  249.2,1  504.6,1  851.9,2  188.6,2  441.5,2  578.1,2  551.3,2  961.2,3  491.5,3  609.3,4  331.3,7  722.3,13  490.8,19  947.1,24  918.9,29  275.6,35  715.4,38  034.5,40  712.2,42  893.0,46  279.8,50  067.6,54  597.4,57  280.9
Namibia,2  046.8,2  114.8,2  141.8,1  490.8,1  601.2,1  707.7,1  472.9,1  582.7,1  444.4,1  512.6,1  276.3,  715.0,1  822.5,2  951.9,4  120.4,2  453.4,2  785.8,3  854.5,3  542.6,2  780.4,3  595.5,3  792.6,3  303.2,3  447.1,3  287.0,5  221.4,6  230.7,7  241.4,6  906.2,6  827.5,7  046.6,7  190.7,7  746.7,9  135.8
South Africa,9  210.4,10  209.1,10  662.3,10  694.3,12  614.9,15  014.1,13  235.7,16  736.1,15  676.1,51  771.9,43  451.0,34  695.4,35  885.0,57  060.7,80  278.2,96  693.3,106  929.0,131  831.1,83  648.8,138  750.8,179  564.8,159  390.1,163  510.1,152  123.5,138  905.6,126  755.5,135  453.5,156  353.0,138  561.6,145  246.5,133  126.6,174  783.0,172  209.5,124  024.9
Zambia,2  655.5,2  689.8,2  734.8,3  049.2,3  089.2,3  186.2,3  303.3,3  520.3,3  758.3,3  844.3,3  966.0,4  037.7,4  341.1,4  688.1,5  052.1,5  409.0,5  768.1,6  920.6,7  256.5,7  606.7,7  432.5,8  393.7,11  047.5,12  342.2,16  149.3,16  488.2,18  855.1,19  866.5,21  366.6,20  906.0,15  137.9,16  884.7,15  383.6,15  491.7
Zimbabwe,  277.1,  279.9,  298.9,  336.9,  377.9,  495.6,  576.5,  711.6,1  155.9,1  214.9,1  238.1,1  241.9,1  267.8,1  271.6,1  280.3,1  383.1,1  423.1,1  492.0,1  543.6,1  648.6,1  814.6,2  201.6,2  601.6,3  001.6,3  546.6,3  967.6,4  339.6,4  688.6,5  433.6,5  713.6,5  907.6,6  157.6,6  552.7,7  141.1
West Africa,14  012.5,15  373.3,16  763.8,18  882.7,21  670.2,23  523.0,26  128.6,28  803.5,29  977.6,30  789.3,33  009.7,34  624.8,38  116.0,42  150.6,46  091.4,41  940.6,49  496.5,59  645.4,69  430.9,86  708.3,106  590.3,126  293.3,159  133.5,186  767.4,214  106.3,217  729.8,165  351.8,164  115.2,168  589.2,181  809.4,195  722.1,202  786.0,210  528.7,210  813.9
Benin,-  172.6,-  51.8,  25.7,  27.1,  40.8,  48.8,  62.3,  46.9,  67.0,  73.5,  213.2,  173.8,  176.3,  231.2,  269.0,  284.3,  384.5,  556.3,  602.4,  762.8,  604.1,  734.9,1  038.5,1  459.7,1  655.9,1  631.8,1  705.4,2  153.6,2  244.3,2  420.9,2  831.4,2  944.6,3  153.9,3  710.8
Burkina Faso,  38.7,  39.2,  42.4,  45.5,  63.9,  73.7,  89.9,  99.7,  104.1,  15.8,  27.8,  15.9,  23.3,  51.9,  48.8,  75.4,  169.6,  559.5,  325.6,  571.4,  353.9,  646.9,  997.8,1  552.2,1  692.2,1  745.0,2  061.5,2  348.2,2  502.1,2  618.4,2  750.1,2  461.7,2  997.5,3  192.7
Cabo Verde,  3.8,  5.5,  6.0,  9.6,  11.8,  37.9,  66.5,  78.1,  86.8,  148.4,  191.9,  204.5,  243.1,  276.6,  326.0,  360.1,  539.1,  807.4,  962.1,1  176.6,1  366.8,1  477.6,6  272.8,6  999.6,6  730.2,6  564.3,6  710.2,8  171.8,2  109.6,2  183.7,2  469.7,2  360.1,2  345.8,2  571.9
Côte d'Ivoire,  975.4,  994.0,1  063.0,1  238.2,1  355.7,1  567.5,1  836.7,2  252.1,1  858.2,1  905.1,2  483.2,2  620.4,3  355.0,4  225.7,4  867.7,4  511.7,5  371.6,6  463.2,6  534.1,7  154.8,6  978.2,7  038.0,7  515.9,8  279.2,7  690.2,7  381.0,7  696.7,9  792.1,9  950.1,10  701.3,12  456.8,12  815.5,13  690.7,15  974.3
Gambia,  156.6,  158.2,  160.3,  168.9,  177.7,  184.7,  193.6,  200.1,  211.4,  219.6,  216.0,  220.9,  263.8,  278.7,  327.8,  372.5,  443.7,  333.2,  328.3,  283.2,  322.8,  366.0,  375.3,  374.6,  339.8,  399.3,  359.9,  378.3,  430.3,  501.4,  691.3,  939.8,1  175.8,1  384.2
Ghana,  319.3,  339.3,  361.8,  486.8,  719.8,  826.3,  946.3,1  028.1,1  195.5,1  439.2,1  554.1,1  643.4,1  702.3,1  812.3,1  951.6,2  144.6,2  579.6,3  434.9,4  655.3,7  552.3,10  079.7,13  327.3,16  621.8,19  848.1,23  205.1,26  397.4,29  882.7,33  137.7,36  126.8,40  006.6,41  882.4,44  495.2,46  006.1,47  360.4
Guinea,  68.8,  107.6,  127.3,  130.0,  130.2,  131.0,  154.8,  172.1,  189.9,  253.4,  263.3,  265.0,  295.0,  377.8,  475.7,  580.7,  705.7,1  091.6,  243.9,  384.7,  486.1,1  442.2,1  884.2,2  018.1,2  091.9,2  145.2,3  763.6,4  341.2,4  694.0,4  738.4,4  914.7,5  112.3,5  251.8,6  144.9
Guinea-Bissau,  8.0,  10.1,  15.9,  19.2,  19.6,  19.7,  20.7,  32.2,  36.6,  37.3,  38.0,  38.4,  42.0,  46.0,  47.6,  5.9,  1.3,  9.8,  15.7,  13.7,  62.5,  83.9,  92.3,  116.9,  129.3,  134.2,  152.8,  190.5,  201.8,  269.9,  317.4,  310.7,  326.2,  362.2
Liberia,2  731.6,2  740.0,2  729.1,2  675.5,2  692.9,2  697.5,2  565.4,2  779.2,2  969.5,3  225.8,3  246.6,3  254.9,3  257.7,3  629.9,3  705.2,3  788.0,3  895.9,4  027.5,4  227.5,6  719.9,10  205.6,8  005.4,10  439.5,8  843.5,7  598.9,7  879.7,8  191.4,8  439.2,8  568.4,8  655.1,9  393.0,9  928.6,10  888.8,11  633.4
Mali,  229.4,  230.6,  208.7,  212.9,  230.3,  341.7,  385.1,  454.8,  309.9,  228.1,  132.4,  210.4,  524.2,  682.6,  756.4,  871.6,  965.6,  966.7,  977.6,1  882.8,1  963.6,2  419.1,2  875.3,3  325.2,3  059.1,3  013.5,3  257.2,4  303.8,4  562.0,5  199.1,6  257.1,6  387.9,6  741.5,7  697.4
Mauritania,  59.2,  61.4,  68.4,  85.2,  88.1,  94.9,  94.5,  91.1,  90.8,  106.0,  146.0,  222.7,  290.1,  392.0,  796.1,1  608.0,1  762.6,1  902.0,2  244.8,2  241.7,2  372.2,2  961.0,4  349.6,5  475.2,5  976.3,6  478.4,  189.3,  785.6,1  522.5,2  354.9,3  340.4,4  440.8,5  825.4,6  702.5
Niger,  286.4,  301.6,  358.0,  323.6,  312.3,  326.8,  329.1,  345.7,  344.5,  38.5,  45.4,  61.5,  70.0,  78.8,  115.2,  100.0,  161.1,  276.6,  623.8,1  404.3,2  251.2,3  171.9,4  098.3,5  030.7,5  180.9,5  165.4,5  288.2,6  376.2,6  539.3,7  135.6,8  182.6,8  122.0,8  628.4,9  926.2
Nigeria,8  538.6,9  662.5,10  819.2,12  697.3,14  984.7,16  255.8,18  446.4,20  088.9,21  299.0,22  476.7,23  786.4,25  063.8,27  104.0,29  275.4,31  402.5,26  345.0,31  242.8,37  329.5,45  578.2,54  227.7,66  796.5,80  138.7,97  514.1,118  114.2,142  816.3,142  753.1,90  002.3,75  510.4,80  392.2,84  627.3,87  012.6,87  525.4,86  239.4,73  374.8
Senegal,  258.3,  250.9,  272.4,  271.7,  338.5,  373.6,  379.0,  555.9,  616.2,  329.4,  294.6,  194.3,  241.6,  346.6,  441.2,  358.2,  477.1,  838.6,1  170.6,1  543.2,1  699.3,1  960.4,2  282.6,2  709.2,3  378.6,3  431.1,3  771.9,4  916.0,5  515.5,6  480.6,9  066.1,10  846.0,13  184.3,16  357.9
Sierra Leone,  243.1,  250.6,  245.0,  237.6,  234.7,  242.0,  242.7,  244.5,  244.6,  245.1,  284.0,  293.8,  304.2,  312.8,  374.0,  299.9,  453.0,  612.1,  490.9,  272.9,  482.2,1  310.7,1  417.4,1  010.7,1  094.7,1  042.1,  844.1,1  498.9,1  716.7,2  084.4,2  219.5,2  437.8,2  687.8,2  950.7
Togo,  268.0,  273.6,  260.5,  253.6,  269.1,  301.2,  315.6,  334.1,  353.6,  47.5,  86.8,  141.1,  223.6,  132.4,  186.7,  234.7,  343.2,  436.5,  450.2,  516.3,  565.5,1  209.4,1  358.1,1  610.2,1  466.9,1  568.4,1  474.5,1  771.6,1  513.6,1  831.9,1  937.2,1  657.6,1  385.3,1  469.5
Asia,334  499.4,355  493.2,385  159.9,439  450.4,486  925.2,557  497.0,652  911.2,699  658.5,737  742.2,964  851.5,1023  690.3,1030  397.6,997  279.8,1148  667.7,1323  899.4,1572  927.4,2054  412.8,2896  744.1,2647  911.7,3178  349.7,3878  998.0,4167  334.6,4830  394.5,5202  474.2,5748  160.0,6066  874.2,6440  150.0,7413  224.4,7698  643.4,8157  738.6,8767  204.9,10889  510.0,11052  894.1,11674  476.8
East and South-East Asia,296  534.6,315  033.1,340  636.6,390  445.5,432  699.5,494  808.9,579  435.9,614  108.7,642  965.3,864  458.4,908  302.3,903  649.0,852  994.0,961  191.1,1091  049.1,1251  302.6,1613  609.1,2276  348.8,2002  899.6,2342  530.0,2888  852.4,3150  047.3,3674  445.2,4041  699.0,4477  300.9,4757  224.5,5049  538.2,5887  828.9,6186  821.0,6567  612.5,7020  388.4,9145  036.9,9210  207.5,9845  585.3
East Asia,234  894.4,241  576.8,257  339.0,292  710.5,312  495.7,347  227.0,386  546.1,426  115.1,423  276.8,617  460.4,650  699.7,644  682.7,567  629.8,635  830.7,717  766.5,817  537.6,1055  946.3,1536  138.4,1221  377.0,1447  905.0,1738  193.4,1871  679.9,2172  365.5,2416  860.8,2697  612.8,2927  696.3,3101  757.0,3568  995.6,3733  365.7,3802  951.7,3944  030.5,5788  189.4,5704  180.1,5976  425.3
China,20  690.6,25  057.0,36  064.5,63  579.4,74  151.0,101  098.0,128  069.0,153  995.0,175  156.0,186  189.0,193  348.0,203  142.0,216  503.0,228  371.0,245  467.0,272  094.0,292  559.0,327  087.0,378  083.0,472  148.0,586  882.0,710  867.0,831  940.0,955  851.0,1084  353.0,1219  930.0,1353  641.0,1489  956.0,1628  261.0,1769  486.0,1918  828.0,3633  317.0,3496  379.6,3659  633.0
Democratic People’s Republic of Korea,  7.0,  9.4,  15.1,  21.0,  21.2,  21.2,  23.3,  22.8,  82.7,  79.8,  77.0,  57.2,  62.8,  120.0,  184.9,  179.0,-  56.8,-  34.8,  136.2,  222.5,  236.1,  339.2,  544.5,  664.2,  728.3,  806.5,  895.8,  883.0,  884.9,  914.8,  921.2,  939.3,  949.3,  962.6
