"Annex table 1. FDI inflows, by region and economy, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,16  506.2,16  166.1,18  699.1,16  620.0,15  680.3,23  562.5,21  745.7,23  381.6,31  238.1,46  544.6,27  495.0,15  946.8,21  514.5,7  855.0,-2  573.6,33  228.7,25  325.7,63  499.6,37  593.4,30  733.5,13  890.1,31  641.9,16  062.1,27  310.5,  522.5,45  816.2,23  903.6,29  300.0,34  671.3,20  425.8,13  173.6,34  109.4,75  978.9,42  031.6
Germany,2  962.4,4  727.2,-2  089.4,  368.2,7  134.5,12  024.5,6  572.6,12  244.6,24  593.2,56  075.7,198  279.3,26  402.0,53  522.3,32  376.8,-10  192.2,47  449.8,55  654.6,80  212.5,8  127.0,23  805.6,65  643.0,67  513.7,28  181.1,12  776.8,-  471.2,20  339.5,22  679.6,48  389.9,72  022.4,52  683.7,69  954.4,51  217.8,27  411.3,36  697.7
Greece,1  005.0,1  135.0,1  144.0,  977.0,  981.0,1  053.0,1  058.0,  984.0,  71.2,  561.9,1  108.2,1  589.3,  39.6,1  275.2,2  101.7,  623.3,5  354.9,2  111.3,4  498.6,2  436.4,  329.9,1  143.1,1  739.7,2  818.2,2  686.8,1  268.2,2  765.2,3  484.8,3  973.3,5  019.2,3  212.5,6  328.2,8  451.4,5  430.1
Hungary,  553.8,1  470.4,1  477.0,2  443.0,1  143.4,5  103.5,3  299.6,4  167.3,3  334.9,3  311.9,2  764.1,3  936.0,2  993.6,2  137.4,4  265.7,7  709.0,6  817.5,3  950.8,6  410.0,2  172.1,2  352.8,6  536.9,14  606.4,3  584.7,7  967.5,-14  537.4,-5  438.5,3  514.9,6  460.3,4  143.0,6  842.1,8  041.4,9  319.9,6  016.4
Ireland,  621.9,1  361.7,1  458.2,1  077.9,  857.0,1  442.9,2  617.5,2  028.8,8  862.2,18  210.6,25  779.4,9  650.9,29  323.8,22  781.3,-10  607.6,-31  689.3,-5  542.3,24  707.2,-16  452.9,25  715.3,42  804.1,23  544.7,48  883.8,50  610.3,48  247.0,217  866.4,39  413.6,52  834.9,-12  017.4,149  433.1,102  519.0,-3  932.6,-25  058.3,-9  164.8
Italy,6  344.9,2  481.6,3  209.8,3  746.6,2  236.0,4  816.5,3  535.1,4  961.5,4  280.2,6  911.2,13  374.8,14  870.6,17  054.9,19  424.4,20  125.9,23  291.3,42  580.9,43  849.3,-10  835.3,20  076.6,9  178.3,34  323.8,  92.5,24  279.3,23  253.9,19  635.1,28  468.5,24  047.1,37  681.9,22  719.7,-18  575.5,-2  952.1,32  176.9,18  219.4
Latvia,  0.0,  0.0,  31.5,  44.1,  212.6,  178.3,  382.4,  522.3,  355.8,  346.5,  328.3,  105.2,  209.9,  279.9,  607.2,  706.4,1  663.4,2  324.0,1  264.1,-  22.2,  419.8,1  468.0,1  111.4,  901.8,  896.7,  738.9,  254.6,  742.2,  960.1,  925.8,1  004.0,3  303.4,1  403.7,1  212.1
Lithuania,  0.0,  0.0,  10.0,  31.2,  31.3,  72.6,  152.4,  354.5,  925.5,  486.5,  378.9,  445.8,  725.0,  180.4,  844.4,1  134.6,2  023.4,2  289.4,1  794.0,-  448.1,1  019.5,1  799.0,  802.1,  573.9,-  133.4,1  055.1,  302.6,1  345.3,  971.5,1  440.5,  415.7,2  860.1,2  214.3,1  867.8
Luxembourg,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,4  243.2,4  291.1,5  179.6,4  644.8,32  219.5,-29  679.4,7  117.1,27  255.2,39  128.5,8  843.2,2  824.1,23  299.0,20  060.3,45  432.2,17  581.0,-27  369.8,-83  336.5,163  717.6,9  838.9,25  122.6,-359  330.6,-62  807.6
Malta,  45.8,  77.0,  39.5,  69.5,  155.8,  129.3,  293.0,  82.0,  277.2,  856.6,  581.6,  235.2,-  418.7,  959.8,12  608.2,25  083.2,17  691.4,39  620.1,12  688.8,2  906.9,5  409.5,21  875.9,14  183.9,12  007.8,11  205.0,5  069.2,4  248.4,3  407.3,4  023.6,3  778.1,3  921.4,28  661.9,19  916.3,20  899.8
Netherlands,11  063.3,6  074.6,6  392.1,6  359.1,7  031.6,11  723.7,16  186.8,11  181.1,37  277.3,41  203.2,63  855.0,51  927.5,25  038.3,32  899.9,12  452.4,39  047.2,13  977.7,114  161.2,-6  776.4,38  751.9,-7  184.5,24  155.8,25  013.0,51  119.5,45  033.9,176  466.3,59  928.1,26  854.6,102  134.4,15  939.9,-81  651.4,-70  238.3,-80  438.3,-168  449.7
Poland,  88.0,  359.0,  678.0,1  715.0,1  875.2,3  658.2,4  498.7,4  910.2,6  398.4,7  270.8,9  445.3,5  579.3,4  030.1,3  982.3,12  140.3,8  203.2,14  577.5,19  836.2,12  283.0,10  039.3,12  796.3,15  925.1,12  423.5,3  625.5,14  268.7,15  270.8,15  690.1,9  172.3,15  996.3,13  510.2,15  195.4,29  234.8,31  469.6,28  685.3
Portugal,2  363.3,2  186.6,1  637.5,1  440.7,1  250.5,  674.9,1  312.5,2  340.0,3  026.9,1  156.7,6  559.8,6  195.7,1  630.0,7  983.6,2  560.7,3  011.2,7  471.4,3  020.4,2  104.5,1  281.7,1  988.5,5  957.2,8  152.6,8  219.8,4  565.7,9  181.7,5  688.5,6  928.3,7  181.4,12  251.5,7  683.3,9  614.9,9  777.6,7  220.4
Romania,  0.0,  40.0,  77.0,  94.0,  341.0,  419.0,  263.0,1  215.0,2  031.0,1  027.0,1  056.8,1  157.9,1  140.7,2  196.3,6  435.6,6  152.3,10  858.1,9  732.8,13  491.5,4  665.4,2  997.2,2  362.9,3  198.5,3  602.4,3  215.7,3  840.5,5  000.4,5  419.5,6  218.9,5  791.0,3  432.3,10  574.0,10  571.9,7  130.1
Slovakia,  93.0,  81.0,  100.0,  179.1,  255.2,2  587.1,  369.7,  230.6,  926.8,  626.8,2  720.4,2  274.8,5  864.9,2  975.7,4  029.0,3  109.6,5  803.1,4  017.2,4  868.0,-  6.1,1  769.8,3  491.3,2  981.7,-  604.2,-  512.8,  106.1,  805.9,4  016.8,1  675.1,2  510.6,-2  403.5,1  820.6,2  902.3,  180.3
Slovenia,  4.3,  64.9,  111.0,  112.6,  116.9,  153.6,  175.5,  334.4,  217.8,  105.7,  137.4,  358.5,1  569.7,  271.2,  675.5,  561.6,  706.3,  757.3,1  218.4,-  475.8,  105.4,1  087.4,  339.3,-  151.2,1  051.2,1  675.1,1  245.9,  897.7,1  384.2,1  463.0,  220.0,1  845.9,2  039.5,1  102.9
Spain,10  797.2,9  633.0,10  665.7,8  571.5,8  883.5,7  910.8,9  325.0,8  918.4,14  266.9,18  743.4,39  575.1,28  408.1,39  222.6,25  819.3,24  760.7,25  020.2,30  802.4,64  264.4,76  992.5,10  406.6,39  872.5,28  379.2,25  696.5,28  100.1,23  308.5,14  435.8,29  654.0,23  502.9,58  062.9,17  842.4,14  238.6,38  318.4,44  885.1,35  914.3
Sweden,1  971.2,6  353.2,-  41.0,3  845.9,6  349.7,14  448.3,5  437.4,10  967.5,19  918.9,61  135.0,23  432.8,10  914.4,12  273.0,5  280.3,12  093.3,11  516.0,27  445.9,28  592.6,36  946.9,10  146.7,  97.1,12  929.5,16  257.1,3  864.6,5  332.0,5  235.0,19  610.3,15  264.0,5  269.1,8  760.8,20  879.5,22  364.1,44  705.8,29  417.8
Other Europe,37  597.9,17  928.1,18  497.5,19  471.9,17  387.8,30  751.1,38  150.8,50  658.8,82  236.2,113  293.1,145  788.2,52  766.6,33  236.8,48  290.3,84  312.0,209  061.8,254  096.1,295  645.1,215  955.4,180  189.4,146  780.2,137  426.1,144  471.9,120  128.2,70  746.2,119  964.8,390  574.3,251  371.3,14  737.6,33  351.5,4  044.2,-87  754.3,-21  047.1,-42  152.2
Albania,  0.0,  0.0,  20.0,  68.0,  53.0,  70.1,  90.1,  47.5,  45.0,  41.2,  144.3,  206.4,  133.1,  177.1,  345.7,  264.3,  324.4,  658.5,  974.3,  995.9,1  050.7,  876.3,  855.4,1  265.9,1  111.4,  945.7,1  100.7,1  148.9,1  289.7,1  288.0,1  108.1,1  233.9,1  434.1,1  630.2
Belarus,  0.0,  0.0,  7.0,  17.6,  10.5,  14.7,  104.5,  351.6,  190.8,  444.0,  118.8,  95.8,  247.1,  171.8,  163.8,  306.6,  357.1,1  807.3,2  187.9,1  876.5,1  393.4,4  002.4,1  429.3,2  229.6,1  827.6,1  667.9,1  237.8,1  278.5,1  421.0,1  293.1,1  398.4,1  238.4,1  603.4,2  060.2
