"Annex table 17. Number of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Suriname,  2,-,-,-,-,  2,-,-,  1,  1,  2,-,  2,-,-,-,-,-,  1,  3,  1
Uruguay,  4,  10,  8,  8,  22,  17,  8,  23,  26,  15,  25,  29,  16,  16,  15,  23,  22,  16,  23,  25,  26
"Venezuela, Bolivarian Republic of",  18,  42,  24,  16,  13,  24,  17,  21,  9,  11,  26,  11,  3,  8,  6,  4,  2,  2,  1,  1,  5
Central America,  214,  206,  178,  236,  344,  480,  503,  402,  459,  430,  660,  556,  549,  614,  716,  783,  848,  463,  573,  696,  682
Belize,-,-,-,-,-,-,  1,  1,-,  6,  3,  1,  1,  1,-,  3,  1,-,  1,  1,  1
Costa Rica,  12,  7,  14,  22,  42,  21,  68,  43,  41,  35,  50,  34,  48,  57,  64,  71,  117,  105,  144,  156,  120
El Salvador,  5,  6,  4,  5,  9,  13,  19,  13,  17,  18,  12,  10,  6,  12,  15,  13,  9,  8,  16,  7,  9
Guatemala,  6,  6,  3,  3,  16,  20,  20,  14,  16,  9,  18,  15,  18,  13,  7,  15,  22,  7,  12,  22,  11
Honduras,  7,  6,  3,  2,  11,  11,  7,  9,  12,  3,  15,  13,  11,  7,  8,  10,  7,  8,  4,  4,  12
Mexico,  170,  167,  144,  196,  234,  372,  332,  268,  306,  326,  509,  438,  426,  485,  584,  632,  652,  309,  379,  487,  502
Nicaragua,  8,  2,  2,  3,  5,  8,  8,  10,  16,  8,  17,  12,  7,  14,  14,  12,  8,  2,  3,  3,  1
Panama,  6,  12,  8,  5,  27,  35,  48,  44,  51,  25,  36,  33,  32,  25,  24,  27,  32,  24,  14,  16,  26
Caribbean,  24,  20,  22,  20,  18,  38,  31,  23,  42,  33,  53,  44,  44,  39,  53,  52,  41,  22,  28,  40,  37
Antigua and Barbuda,-,-,-,-,-,  2,-,-,-,-,-,  2,  1,-,-,-,  2,-,-,  1,-
Barbados,-,  1,-,-,-,-,  1,  2,  3,  1,-,  1,-,  2,  3,  2,-,  1,  1,-,  2
Cuba,  6,  5,  5,  1,  2,  8,  12,  7,  5,  2,  3,  3,  12,  16,  19,  14,  10,  1,  5,  3,  3
Dominica,-,-,  2,-,  1,-,-,-,-,-,-,-,  1,-,-,  1,  2,-,-,-,-
Dominican Republic,  10,  10,  9,  10,  10,  19,  13,  10,  22,  19,  30,  27,  12,  15,  22,  26,  19,  16,  13,  31,  26
Grenada,-,-,-,-,  1,-,-,  1,  2,  1,  2,  1,  1,  1,-,-,  1,  1,  1,-,-
Haiti,-,-,  1,  2,-,  1,  2,  1,  4,  4,  8,-,  3,  4,  2,-,-,-,-,-,-
Jamaica,  5,  4,  2,  2,  2,  5,  3,  3,  8,  2,  5,  11,  14,  3,  8,  11,  10,  4,  8,  2,  3
Saint Kitts and Nevis,-,-,-,-,-,-,-,-,-,  1,-,-,-,-,-,  1,-,-,-,-,-
Saint Lucia,  1,-,-,-,  1,-,  1,  2,  1,  2,  4,  6,  1,  1,  8,  2,  1,  1,-,-,-
Saint Vincent and the Grenadines,-,-,  1,-,-,-,-,-,-,-,-,  1,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,  3,  1,  5,  5,  4,  5,  1,  2,  3,  6,  7,  3,  3,  1,  2,  1,  2,  1,  2,  4,  5
Aruba,  1,-,  1,-,-,  1,-,  1,  3,  1,-,  2,  2,  1,-,-,-,-,-,-,  1
Bahamas (the),  3,  1,  2,-,  1,  3,  2,  3,  7,  1,  2,  1,-,  1,-,  5,-,  1,  4,  2,-
Cayman Islands,-,-,  1,  2,  2,  7,  4,  5,  3,  9,  2,  4,  7,  1,  2,  3,  1,  5,  5,  3,-
Turks and Caicos Islands,-,-,-,-,-,  1,-,  1,-,-,  1,-,  1,-,-,-,-,-,-,-,-
Oceania,  7,  7,  2,  4,  2,  12,  9,  8,  10,  16,  6,  11,  13,  13,  11,  7,  2,-,  2,  8,  13
Fiji,  3,-,-,  1,  1,  3,  2,  1,  5,  4,  2,  4,  5,  4,  8,  1,  1,-,  1,  4,  5
"Micronesia, Federated States of",-,-,-,  1,-,-,-,-,-,  1,-,  1,  1,-,-,  1,-,-,-,-,-
Papua New Guinea,  4,  4,  1,  2,-,  6,  5,  5,  3,  9,  4,  5,  6,  5,  3,  3,-,-,  1,  1,  2
Samoa,-,-,-,-,-,  1,-,-,-,-,-,  1,  1,-,-,  1,-,-,-,-,  1
Solomon Islands,-,-,-,-,-,  1,  1,  1,  1,-,-,-,-,  1,-,-,-,-,-,-,-
Tonga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  2,  4
Vanuatu,-,-,-,-,-,-,-,-,-,-,-,-,-,  1,-,-,  1,-,-,  1,-
French Polynesia,-,-,-,-,-,-,-,  1,-,-,-,-,-,  1,-,-,-,-,-,-,  1
New Caledonia,-,  3,  1,-,  1,  1,  1,-,  1,  2,-,-,-,  1,-,  1,-,-,-,-,-
Memorandum,,,,,,,,,,,,,,,,,,,,,
Least developed countries (LDCs),  117,  84,  129,  146,  127,  344,  292,  319,  374,  415,  524,  451,  392,  338,  301,  361,  382,  192,  165,  175,  264
Landlocked countries (LLCs),  201,  152,  177,  180,  181,  371,  344,  268,  377,  301,  374,  342,  274,  253,  205,  393,  369,  139,  176,  212,  346
Small island developing states (SIDS),  30,  29,  31,  26,  32,  65,  34,  48,  68,  62,  63,  79,  58,  47,  60,  74,  63,  37,  38,  60,  66
,,,,,,,,,,,,,,,,,,,,,
"Source: UNCTAD, based on information from the Financial Times Ltd, fDi Markets (www.fDimarkets.com). ",,,,,,,,,,,,,,,,,,,,,
Note: Data refer to estimated amounts of capital investment. Totals exclude the financial centres in the Caribbean.,,,,,,,,,,,,,,,,,,,,,
