"Annex table 17. Number of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Number of deals),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Norway,  26,  23,  20,  22,  24,  47,  33,  33,  31,  37,  49,  41,  23,  27,  39,  37,  36,  52,  46,  49,  56
Republic of Moldova,  8,  14,  13,  6,  13,  6,  9,  13,  13,  8,  11,  6,  4,  5,  7,  4,  6,  5,  5,  9,  7
Russian Federation,  419,  380,  524,  409,  409,  596,  409,  467,  401,  336,  334,  195,  217,  283,  286,  349,  298,  178,  156,  15,  24
Serbia,  40,  52,  48,  39,  80,  107,  58,  79,  111,  115,  125,  79,  75,  86,  114,  168,  117,  42,  46,  100,  75
Switzerland,  62,  76,  80,  109,  173,  189,  144,  125,  139,  148,  113,  115,  86,  131,  140,  144,  122,  128,  147,  152,  125
Ukraine,  72,  89,  124,  133,  109,  135,  95,  116,  73,  66,  113,  52,  30,  39,  69,  96,  58,  46,  78,  31,  51
United Kingdom,  436,  568,  666,  729,  733,  965, 1 120,  961, 1 054,  991, 1 108, 1 199, 1 380, 1 296, 1 355, 1 676, 1 619, 1 025, 1 090, 1 241, 1 184
North America,  851,  838,  821,  974, 1 120, 1 305, 1 587, 1 893, 2 136, 2 021, 2 278, 2 376, 2 098, 2 146, 2 183, 2 429, 2 531, 1 989, 2 084, 2 491, 2 499
Canada,  239,  225,  211,  188,  183,  231,  274,  338,  346,  335,  335,  454,  318,  309,  320,  410,  410,  324,  382,  398,  347
Greenland,  2,  1,-,-,-,-,-,  2,-,-,  1,-,-,-,-,-,-,  3,-,-,-
United States,  610,  612,  610,  786,  937, 1 074, 1 313, 1 553, 1 790, 1 686, 1 942, 1 922, 1 780, 1 837, 1 863, 2 019, 2 121, 1 662, 1 702, 2 093, 2 152
