"Annex table 6. Value of net cross-border M&As by region/economy of purchaser, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France, 18 554.5, 9 675.5, 8 368.7,-  71.5, 6 292.9, 7 144.1, 6 403.7, 8 615.7, 19 778.8, 76 816.1, 154 785.0, 40 185.7, 24 313.3,- 8 229.8,- 2 047.4, 58 432.2, 46 386.6, 73 312.4, 66 800.1, 42 175.0, 6 179.5, 37 090.0,- 3 051.0, 2 809.9, 10 201.8, 22 857.9, 27 297.0, 28 261.4, 98 154.6, 51 949.1, 16 231.6, 87 554.9, 29 742.0, 15 322.8
Germany, 3 731.1, 2 415.3, 5 033.3, 3 118.6, 5 414.0, 22 202.8, 16 854.2, 12 177.2, 63 560.3, 77 887.0, 9 737.1, 51 772.7, 33 274.0, 9 176.9, 7 317.8, 5 450.3, 15 757.2, 59 903.8, 63 784.8, 26 928.1, 7 024.7, 5 644.3, 15 674.2, 6 673.7, 38 638.6, 47 640.1,- 6 559.2, 31 879.0, 72 812.3, 26 993.2, 60 476.1, 43 635.5, 8 600.9, 11 658.3
Greece,-,-  1.2,-  34.2,  176.2,  21.3,  14.6,  5.6, 2 348.9,  906.9,  560.1, 4 410.7, 1 128.5,  117.8,  461.1,-  78.1, 1 149.8, 5 238.3, 1 502.5, 3 484.3,  386.6,  552.5,-  147.9,- 1 561.4,- 1 014.9,  268.1,-  140.2,- 3 461.9,-  914.9,  629.3,-  417.8,  128.2,-  536.1,-  21.9, 1 014.3
Hungary,-,-,-,-,-,-,-,  1.0,  40.7,  43.7,  277.3,-  1.6,  44.9, 1 205.4,  63.0,  416.2, 1 522.4,  1.1,  41.0,  0.1,  799.3,  17.0,-  6.7,-,-  30.7,  38.0,-  94.1,  103.0,-,-,  5.6,  20.6,-  406.8,  319.1
Ireland,  602.5,  248.4,  387.3,  254.0, 1 510.9, 1 222.1,  646.5,  835.6, 2 496.3, 3 852.5, 5 985.3, 1 194.6, 2 093.9,  21.9, 2 621.6, 3 420.8, 9 810.7, 7 340.5, 3 505.4,-  664.5, 5 123.6,- 5 648.4, 2 628.7,- 3 342.0, 15 471.0, 94 557.8, 67 161.8,- 6 504.0, 3 650.5,- 10 637.0,- 2 313.5, 46 793.9, 11 675.2,- 1 862.4
Italy, 1 677.5,  186.9, 4 517.4,  288.8,  507.3, 3 192.3, 1 356.5,  220.3, 11 213.5, 1 378.4, 18 438.6, 5 655.2, 1 924.7,-  739.7, 3 303.0, 23 441.6, 6 956.3, 62 172.7, 20 975.6, 17 194.7,- 5 189.6, 3 901.9,- 1 632.8, 2 861.3,- 8 152.4, 3 092.0, 12 584.4,- 5 035.8, 34 256.3, 5 688.4, 5 699.4, 13 415.5, 6 353.5, 6 429.5
Latvia,-,-,-,  17.8,-,-,-,-,  1.7,-,  0.0,-,  1.6,-,  2.7,-,-,  3.8,-,-  30.0,  40.2,-  3.4,-,-,-,-,  2.9,-  3.5,-  1.2,  3.1,-  23.2,-,  0.5,-
Lithuania,-,-,-,-,-,-,-,-,-,  1.3,  35.3,-,-,  3.3,  4.8,  5.5,-,-,  31.2,-,-  0.4,  3.6,-  2.7,  9.9,  1.0,-,  17.3,  15.8,  554.3,-,  31.7,-  3.5,  89.7,  3.1
Luxembourg, 1 349.9,  195.6,-  135.2, 1 858.6,  94.0,-  3.6,  237.5,  484.7,-  149.3,  683.9,  492.4, 15 428.7,  606.9,  31.0,-  15.8, 1 385.1, 22 326.3,  15.7, 5 905.9,  23.8, 1 558.5, 1 110.3,-  716.0, 3 310.0, 22 236.4, 17 503.3, 9 641.1, 9 938.3,-  261.8, 10 375.3,- 4 776.9, 4 236.1, 7 897.3, 1 893.4
Malta,-,-,-,  6.7,-,-,-,-  1.8,-,  138.1,-,  42.9,-,-,  57.0,-,  114.7,-,-  24.7,-,  235.3,-  15.5,  25.4,  22.4,  33.3, 2 699.8,- 1 139.4,  115.4,  0.8,  70.0,-  145.8,  602.0,  866.9,-  73.3
Netherlands, 3 177.8, 3 859.0, 1 521.3, 2 947.5, 7 668.0, 3 316.7, 13 898.9, 13 753.2, 13 346.6, 36 789.3, 33 604.2, 26 671.4, 10 545.0, 5 125.8,- 5 479.8, 83 384.4, 48 649.6, 4 283.0, 48 465.8,- 3 506.1, 16 417.9,- 4 401.5,- 1 091.8,- 3 142.1,- 6 258.6, 20 854.3, 119 561.7,- 8 317.0,-  190.0, 2 165.0, 17 535.4, 15 007.2, 5 535.5, 21 892.6
Poland,-,  13.6,-,-,  5.6,  0.3,  13.1,-,-,-,-  1.2,  214.1,-,  316.0,  57.7,  559.4, 2 556.6,  189.3, 1 090.4,  229.4,  200.9,  511.1, 3 398.6,  301.6, 1 120.9,  519.6,  315.7,  130.8, 1 829.1,  462.5,-  91.1, 1 017.7,- 1 249.3,  202.4
Portugal,-,  141.9,  501.8,  3.0,  158.5, 1 236.2,-  636.3,  512.1,  960.3, 1 543.4, 1 282.5, 2 099.8,  224.3, 1 012.7,  430.7,- 2 060.4,  766.7, 4 070.6, 1 330.0,  722.9,- 8 965.1, 1 641.7,- 4 735.2,-  578.0,-  594.4,-  378.2,-  988.8,- 2 538.6,-  544.2,-  829.2, 1 173.4,-  41.8,  967.5,- 1 714.3
Romania,-,-,-,-,  0.6,  0.5,-,  0.3,  6.1,-,-  9.9,-,-,-,-,-,-,-,  4.4,  7.4,  23.9,-,-,-,-,-,-,  6.3,  3.4,  1.3,-,  0.3,  3.5,-  26.0
Slovakia,-,-,-,-,-,-,  41.7,  1.0,  13.5,  424.8,  24.0,  119.9,  2.9,-  1.1,-,  493.4,-,-,-,-,  10.5,-  17.9,-  29.6,-,-  14.0,-  995.5,  21.9,  7.4,  551.0,-,-,-,-,-  257.2
Slovenia,-,-,-,-  21.1,-,-,-,-,-,-,  11.8,  14.2,  62.0,  13.7,  58.7,  95.6,  29.1,  74.0,  320.4,  250.9,-  50.3,-  9.6,-,-,-,-,-,- 1 139.1,-,-  41.6,  421.0,  222.3,-  2.6,-
Spain, 4 294.5, 1 132.2, 1 842.1,  317.2, 2 312.8,-  279.5, 2 742.5, 5 014.1, 14 999.3, 23 285.4, 36 495.4, 8 524.6, 5 854.8,-  503.3, 26 888.6, 20 381.3, 72 205.7, 40 014.6,- 12 160.1,-  507.3, 2 897.6, 15 505.4,- 1 621.2,- 7 377.5, 4 826.0, 17 255.2, 3 253.9, 4 770.5,  67.0, 5 898.6,- 2 223.3,- 10 731.2, 10 550.0, 4 872.2
Sweden, 12 529.2, 1 072.2,-  820.5,  110.5,-  677.0, 4 639.9,  22.7, 4 512.0, 7 898.2, 9 011.7, 19 399.1, 6 633.4, 10 893.0, 2 189.1, 1 918.2, 11 062.9, 3 671.1, 30 983.3, 6 882.9, 9 819.1,  854.9,- 2 381.2,  151.4,- 4 420.9, 9 036.3, 1 566.0, 9 685.2,-  941.0, 7 445.0, 21 066.9, 24 362.8, 3 745.9, 27 572.4, 8 824.4
Other Europe, 10 154.6, 9 535.6, 3 377.3, 8 984.4, 33 924.0, 14 141.9, 28 824.3, 40 072.7, 52 520.8, 130 887.1, 405 253.0, 55 498.1, 52 647.8, 41 862.9, 41 984.4, 89 312.4, 55 632.0, 302 331.6, 121 283.3, 47 297.2, 21 218.3, 105 636.3, 29 305.8,- 56 020.6,- 48 922.0, 84 359.2, 64 569.4, 164 635.7, 111 059.2, 45 993.7, 89 187.4, 65 112.3, 57 831.3, 27 807.9
