Corruption Perceptions Index 2023: Global scores,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Namibia,NAM,SSA,49,59,2.84,6,44,54,,,33,55,,59,,,50,53,,,46
Vanuatu,VUT,AP,48,61,3.14,3,43,53,,,,,,47,,,,55,43,,
Armenia,ARM,ECA,47,62,2.54,6,43,51,,,49,,44,47,,,32,55,,54,
Jordan,JOR,MENA,46,63,2.87,7,41,51,,,33,55,,35,62,,41,48,,,51
Kuwait,KWT,MENA,46,63,1.66,8,43,49,,,45,37,,35,49,,47,56,,53,46
Montenegro,MNE,ECA,46,63,2.55,5,42,50,,,57,,44,47,,,,41,,,39
Romania,ROU,WE/EU,46,63,0.91,10,45,47,,44,45,37,56,47,43,,41,53,,42,50
Bulgaria,BGR,WE/EU,45,67,1.16,10,43,47,,44,49,37,53,47,36,,50,57,,41,37
Sao Tome and Principe,STP,SSA,45,67,4.82,4,37,53,32,,,,,47,,,,59,43,,
Jamaica,JAM,AME,44,69,3.06,7,39,49,,,37,37,,35,,,41,67,,38,51
Benin,BEN,SSA,43,70,3.13,6,38,48,42,,41,,,35,,,,62,43,,36
Ghana,GHA,SSA,43,70,1.47,9,41,45,49,,41,55,,47,,,50,34,43,36,34
Oman,OMN,MENA,43,70,5.32,5,34,52,,,21,37,,47,,,48,60,,,
Senegal,SEN,SSA,43,70,1.35,9,41,45,42,,37,55,,47,,,32,50,43,37,45
Solomon Islands,SLB,AP,43,70,7.43,3,31,55,,,,,,59,,,,34,35,,
Timor-Leste,TLS,AP,43,70,5.19,4,34,52,,,41,,,35,,,,60,35,,
Bahrain,BHR,MENA,42,76,5.33,6,33,51,,,29,37,,35,73,,50,28,,,
China,CHN,AP,42,76,1.64,8,39,45,,,41,37,,47,53,38,32,50,,,38
Cuba,CUB,AME,42,76,3.46,5,36,48,,,37,55,,35,,,50,35,,,
Hungary,HUN,WE/EU,42,76,1.30,10,40,44,,26,33,55,42,47,44,,41,40,,50,39
Moldova,MDA,ECA,42,76,2.10,7,39,45,,,41,37,36,47,,,41,58,,,36
North Macedonia,MKD,ECA,42,76,2.88,6,37,47,,,53,37,47,47,,,,27,,,40
Trinidad and Tobago,TTO,AME,42,76,4.87,6,34,50,,,33,37,,35,,,32,73,,,43
Burkina Faso,BFA,SSA,41,83,1.78,7,38,44,44,,29,,,47,,,37,47,43,,36
Kosovo,KSV,ECA,41,83,2.36,6,37,45,,,41,,36,35,,,,55,43,,37
South Africa,ZAF,SSA,41,83,2.08,8,38,44,,,45,55,,47,28,,32,47,,32,41
Vietnam,VNM,AP,41,83,1.40,8,39,43,,,37,37,,47,,37,37,47,,51,36
Colombia,COL,AME,40,87,1.42,8,38,42,,,45,37,,47,38,,32,49,,34,36
Côte d'Ivoire,CIV,SSA,40,87,1.89,9,37,43,44,,29,37,,59,,,41,34,43,46,27
Guyana,GUY,AME,40,87,2.31,5,36,44,,,,,,35,,,41,50,35,,37
Suriname,SUR,AME,40,87,5.91,4,30,50,,,,,,35,,,32,61,,,34
Tanzania,TZA,SSA,40,87,2.20,9,36,44,39,,33,37,,35,,,32,68,35,46,33
Tunisia,TUN,MENA,40,87,1.70,7,37,43,,,33,37,,47,,,39,49,,44,34
India,IND,AP,39,93,1.26,9,37,41,,,45,37,,47,48,32,41,33,,39,31
Kazakhstan,KAZ,ECA,39,93,3.20,9,34,44,,,33,20,24,47,62,,67,29,,30,37
Lesotho,LSO,SSA,39,93,4.65,5,31,47,24,,37,,,59,,,,41,35,,
Maldives,MDV,AP,39,93,4.17,3,32,46,,,,,,35,,,,49,35,,
Morocco,MAR,MENA,38,97,1.70,7,35,41,,,29,37,,35,,,48,36,,45,36
Albania,ALB,ECA,37,98,1.56,7,34,40,,,45,37,44,35,,,32,36,,,29
Argentina,ARG,AME,37,98,2.05,8,34,40,,,49,37,,35,27,,32,48,,26,44
Belarus,BLR,ECA,37,98,3.34,7,32,42,,,25,37,24,47,,,24,49,,,51
Ethiopia,ETH,SSA,37,98,1.20,8,35,39,39,,33,37,,47,,,32,41,35,,31
Gambia,GMB,SSA,37,98,3.34,7,32,42,21,,29,,,47,,,41,59,35,,30
Zambia,ZMB,SSA,37,98,2.06,8,34,40,32,,33,37,,47,,,32,54,27,,36
Algeria,DZA,MENA,36,104,2.33,7,32,40,,,37,37,,35,,,24,28,,52,36
Brazil,BRA,AME,36,104,1.47,8,34,38,,,49,37,,35,33,,32,39,,27,36
Serbia,SRB,ECA,36,104,1.26,8,34,38,,,37,37,47,35,,,32,29,,36,32
Ukraine,UKR,ECA,36,104,1.93,8,33,39,,,49,20,36,35,,,39,35,,43,33
Bosnia and Herzegovina,BIH,ECA,35,108,1.95,6,32,38,,,37,37,42,35,,,,23,,,37
Dominican Republic,DOM,AME,35,108,1.62,7,32,38,,,41,37,,35,,,24,41,,36,30
Egypt,EGY,MENA,35,108,3.75,7,29,41,,,25,37,,35,,,30,24,,64,27
Nepal,NPL,AP,35,108,0.74,6,34,36,,,33,,,35,,,,35,35,38,31
Panama,PAN,AME,35,108,1.17,7,33,37,,,33,37,,35,,,32,44,,31,34
Sierra Leone,SLE,SSA,35,108,2.14,8,31,39,34,,33,20,,47,,,41,45,35,,25
Thailand,THA,AP,35,108,0.88,9,34,36,,,33,37,,35,43,37,32,26,,36,33
Ecuador,ECU,AME,34,115,1.48,7,32,36,,,45,37,,35,,,32,33,,27,31
